Denumire,Categorie
SET 1 ACUMULATOR 12V SI 2 AH CU INCARCATOR MILWAUKEE M12NRG-201,200
MASINA DE NITUIT-POP FARA ACUMULATORI MILWAUKEE M18 ONEPRT-0X,200
CUTIE CU ECLISA DE IMPAMANTARE,126
VE 12V/265AH GEL DEEP CYCLE BATTERY(M8) VICTRON,106
VE BATTERY BALANCER VICTRON,106
BURGHIU PLACI CERAMICE 6MM,121
BURGHIU PLACI CERAMICE 8MM,121
SURUB CAP HEXAGONAL DIN 933-8.8 M10 X 40 - ZINCAT ALB,119
SURUB AUTOFORANT CAP HEXAGONAL DIN 7504K 6.3 X 45 SW10 - ZINCAT ALB,119
SAIBE PLATE DIN 125 A - M10 X 20 X 2.00 - ZINCAT ALB,119
SAIBE ELASTICE GROWER DIN 127B - M10 ZINCAT ALB,119
PIULITA HEXAGONALA DIN 934-8 M10 ZINCAT ALB,119
SONEL MPI-540-PV SOLAR TESTER MULTIFIX INST EL + FOT + IRAD WMGBMPI540PVIRM,200
CRIC HIDRAULIC 5 T,200
UNGHI INTERIOR FIX 90 DLP-S 85X50,110
UNGHI EXTERIOR VAR DPL-S 85X50,110
CHEIE TUBULARA IN CRUCE AUTO,200
BAUMIT BETON PREDOZAT UNIVERSAL,121
VASELINA,121
MAGIC VOPSEA ROSU 250,121
TUB RIFLAT ROSU 63,116
PROFIL I 80X42MM ZINCAT LA CALD,102
TALPA DE FIXARE PENTRU PROFIL I 80X42MM CU SURUBURI,102
SURUB CAP TORBANT + PIULITA AUTOBLOCANTA M10X25MM,119
JGHEAB DIN SARMA CU IMBINARE RAPIDA 54X100MM ZINCAT LA CALD,102
CAPAC JGHEAB DE CABLURI DIN SARMA UF 100 HDG,102
JGHEAB DIN SARMA CU IMBINARE RAPIDA 54X200MM ZINCAT LA CALD,102
CAPAC JGHEAB DE CABLURI DIN SARMA UF 200 HDG,102
LACAT FONTA ECOLINE 320 50MM,127
TEM ALB INTRERUPATOR CRUCE,127
TEM ALB INTRERUPATOR CAP SCARA,127
TEM ALB MODUL FALS,127
TEM ALB CLAPETA,127
TEM MODUL SUPORT 2X7M,127
TEM MODUL ALB RAMA SOFT 2X7M,127
SEDNA DESIGN INTRERUPATOR SIMPLU LED ALB,127
SEDNA DESIGN PRIZA SCHUKO DUBLA OBTURATOARE,127
SEDNA DESIGN RAMA SIMPLA ALB,127
CABLU MYYUP 2 X 0.75MM INEL 100M ALB,113
ADEZIV,121
TUB FLEXIBIL HF 11MM 320N,116
TUB FLEXIBIL HF 11MM 320N,116
CABLU MYYM 2 X 0.75 300/500V ,114
CLESTE COMBINAT IZOLAT 180,127
